2016-01-25 13:05:05,396 : INFO : categ=Yelp, ftype=ConfAll, index=7, rmse=0.1076411863, corr=0.1875552520, pval=0.0000000000, mse=0.0115866250, mae=0.0814382190, likelihood=-12.5505593829, basehood=-12.1617009018
2016-01-25 13:05:16,175 : INFO : categ=Yelp, ftype=STR, index=8, rmse=0.1095931122, corr=0.0705216868, pval=0.0000000004, mse=0.0120106502, mae=0.0821918737, likelihood=-12.5320790998, basehood=-12.1289964508
2016-01-25 13:05:30,010 : INFO : categ=Yelp, ftype=TOPICS_64, index=8, rmse=0.1072574254, corr=0.1927036493, pval=0.0000000000, mse=0.0115041553, mae=0.0806824586, likelihood=-12.5148036633, basehood=-12.1289964508
2016-01-25 13:07:42,434 : INFO : categ=Yelp, ftype=TFIDF, index=8, rmse=0.1101795201, corr=0.2586533620, pval=0.0000000000, mse=0.0121395267, mae=0.0836569255, likelihood=-12.5410151272, basehood=-12.1289964508
2016-01-25 13:07:56,335 : INFO : categ=Yelp, ftype=LIWC, index=8, rmse=0.1071203706, corr=0.1932414933, pval=0.0000000000, mse=0.0114747738, mae=0.0806505831, likelihood=-12.5125322773, basehood=-12.1289964508
2016-01-25 13:08:24,205 : INFO : categ=Yelp, ftype=INQUIRER, index=8, rmse=0.1068217429, corr=0.2164005299, pval=0.0000000000, mse=0.0114108848, mae=0.0804659221, likelihood=-12.5112485950, basehood=-12.1289964508
2016-01-25 13:08:36,065 : INFO : categ=Yelp, ftype=GALC, index=8, rmse=0.1095769662, corr=0.0730176188, pval=0.0000000001, mse=0.0120071115, mae=0.0821373661, likelihood=-12.5328750047, basehood=-12.1289964508
2016-01-25 13:08:37,029 : INFO : categ=Yelp, ftype=ConfAll, index=8, rmse=0.1082231397, corr=0.1592720305, pval=0.0000000000, mse=0.0117122480, mae=0.0813955780, likelihood=-12.5223799850, basehood=-12.1289964508
2016-01-25 13:08:48,048 : INFO : categ=Yelp, ftype=STR, index=9, rmse=0.1098753482, corr=0.0928682366, pval=0.0000000000, mse=0.0120725921, mae=0.0819409700, likelihood=-12.5788401530, basehood=-12.1842422525
2016-01-25 13:09:02,130 : INFO : categ=Yelp, ftype=TOPICS_64, index=9, rmse=0.1072620012, corr=0.2270319528, pval=0.0000000000, mse=0.0115051369, mae=0.0802904854, likelihood=-12.5573186583, basehood=-12.1842422525
2016-01-25 13:11:15,058 : INFO : categ=Yelp, ftype=TFIDF, index=9, rmse=0.1108061303, corr=0.2874157381, pval=0.0000000000, mse=0.0122779985, mae=0.0836822896, likelihood=-12.5895850147, basehood=-12.1842422525
