2016-01-20 10:32:40,308 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=24, rmse=0.2371132557, rho=0.3226315746, pval=0.0000000000, mse=0.0562226960, mae=0.1540956181
2016-01-20 10:34:40,291 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=25, rmse=0.2424942012, rho=0.3424547003, pval=0.0000000000, mse=0.0588034376, mae=0.1572300655
2016-01-20 10:36:41,164 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=26, rmse=0.2364411473, rho=0.3126971231, pval=0.0000000000, mse=0.0559044161, mae=0.1523415599
2016-01-20 10:38:42,039 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=27, rmse=0.2358115174, rho=0.3305576587, pval=0.0000000000, mse=0.0556070717, mae=0.1523163992
2016-01-20 10:40:42,457 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=28, rmse=0.2373750107, rho=0.3150999866, pval=0.0000000000, mse=0.0563468957, mae=0.1538301387
2016-01-20 10:42:42,515 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=29, rmse=0.2338232930, rho=0.3203678403, pval=0.0000000000, mse=0.0546733324, mae=0.1512494690
2016-01-20 10:44:42,024 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=30, rmse=0.2384701315, rho=0.3210992019, pval=0.0000000000, mse=0.0568680036, mae=0.1530652564
2016-01-20 10:46:42,120 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=31, rmse=0.2370242407, rho=0.2984797209, pval=0.0000000000, mse=0.0561804907, mae=0.1530086782
2016-01-20 10:48:53,403 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=32, rmse=0.2365515107, rho=0.3261948242, pval=0.0000000000, mse=0.0559566172, mae=0.1533465612
2016-01-20 10:51:04,429 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=33, rmse=0.2300385727, rho=0.3185640744, pval=0.0000000000, mse=0.0529177449, mae=0.1494498374
2016-01-20 10:53:14,579 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=34, rmse=0.2381220958, rho=0.3145447460, pval=0.0000000000, mse=0.0567021325, mae=0.1534897339
2016-01-20 10:55:25,110 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=35, rmse=0.2372913374, rho=0.3284638545, pval=0.0000000000, mse=0.0563071788, mae=0.1527474720
2016-01-20 10:57:35,691 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=36, rmse=0.2391048453, rho=0.3157560324, pval=0.0000000000, mse=0.0571711270, mae=0.1550662192
2016-01-20 10:59:46,081 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=37, rmse=0.2371811635, rho=0.3241977517, pval=0.0000000000, mse=0.0562549043, mae=0.1537676311
2016-01-20 11:01:56,959 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=38, rmse=0.2372567520, rho=0.3292976241, pval=0.0000000000, mse=0.0562907664, mae=0.1539677454
